SampleID	ERR1328337	ERR1328338	ERR1328339	ERR1328340	ERR1328341	ERR1328342	ERR1328343	ERR1328344	ERR1328345	ERR1328346	ERR1328348	ERR1328349	ERR1328350	ERR1328351	ERR1328352	ERR1328353	ERR1328354	ERR1328356	ERR1328357	ERR1328358	ERR1328359	ERR1328360	ERR1328361	ERR1328362	ERR1328363	ERR1328365	ERR1328366	ERR1328367	ERR1328368	ERR1328370	ERR1328371	ERR1328372	ERR1328373	ERR1328376	ERR1328377	ERR1328378	ERR1328380	ERR1328383	ERR1328384	ERR1328386	ERR1328394	ERR1328395	ERR1328401	ERR1328403	ERR1328406	ERR1328410	ERR1328412	ERR1328413	ERR1328415	ERR1328417	ERR1328423	ERR1328424	ERR1328426	ERR1328428	ERR1328429
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__zeae	0	0	0	0	0	7	9	0	6	0	9	0	0	52	0	0	0	0	0	1	0	0	72	0	3	1	13	1	0	0	0	0	0	0	0	1	0	26	0	0	1	0	0	4	1	0	0	0	0	0	0	0	1	1	4
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc;s__mesenteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__garvieae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__anginosus	0	0	0	1	0	0	0	1	0	0	10	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__botulinum	0	0	0	0	0	0	3	0	0	0	1	0	0	8	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__butyricum	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	104	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__intestinale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__neonatale	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	1	0	0	0	156	0	0	0	26	0	0	0	0	0	0	0	0	0	0	1	0	0	4
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__perfringens	0	0	0	0	0	0	0	2	0	0	18	0	1	1	0	0	0	2	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__tyrobutyricum	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__obeum	4	0	114	5	21	16	10	67	289	7	1	5	1	2	12	13	33	3	38	21	53	17	205	69	8	85	4	1	7	7	33	47	27	26	10	368	0	44	5	9	27	35	0	21	16	2	4	0	13	31	39	2	2	44	1
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__producta	2	0	33	0	2	8	0	12	67	0	165	2	0	0	3	0	1	81	13	10	6	14	9	9	1	12	1	47	2	0	36	2	1	64	6	91	15	12	0	1	2	1	38	4	0	3	0	40	1	3	65	154	23	13	91
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__fimetarium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__hathewayi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__catus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__eutactus	0	0	20	0	286	1	3	5	0	71	0	0	67	1	0	15	24	171	0	72	439	158	0	0	0	852	0	0	2	8	2	0	1	0	0	430	0	182	0	0	0	1	0	551	422	21	12	0	1	0	688	1	1	2	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__formicigenerans	17	21	78	25	18	54	16	43	1	6	0	24	8	29	21	14	36	29	1	8	94	53	162	8	43	31	37	1	14	13	49	24	65	43	45	45	0	13	7	16	19	42	73	27	6	33	8	0	1	16	65	1	0	70	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Robinsoniella;s__peoriensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	165	0	0	0	1	0	0	0
